বাংলা,চট্টগ্রাম
কার ঘরের সোনা কার ঘরে,কার ঘরর সোনা কার ঘরত
কারিগর ভাঙ্গা ঘরে থাকে,কারিগর ভাঙ্গা ঘরত থাহে
চিকিৎসকের বউয়ের রোজ জ্বর,বৈদ্যর বউয়ের নিত্তি জ্বর
ফালতু কথা কিসের মধ্যে কি,ফালতু হথা কিয়ের মাজে কি
দুইটি লাথি পড়লে ঘাড়ে,দুয়ো লাথি পইল্লে ঘাড়ে
কি করবে ছেলে কি,গরিবে ফোয়া
তার ঘুষির চোটে বিলের মাছ খাবি বুঝেছিস,ইতার কিলের চোডে বিলর মাছ হাবি বুইজ্জোস
ছেলে ছড়ায় দুর্গতি,ফোয়া ছড়ায় দুর্গতি
তারা তো গরিব দেখলে থুতু ফেলে,ইতারা তো গরিব চ্যাঁইলে ছেপ ফেলায়
আমি থাকতে তোর টেনশন কিসের,অ্যাঁই থাইতে তুঁর টেনশন কিয়ের
সে আপনার মেয়ে কি পালন করতে গেছে,ইতে অনের মাইয়্যা কি ফালন গরিত গেইয়্যে
আমি বললাম আমার এখানে আয়,অ্যাঁই হইলাম অ্যাঁর এডে আয়
আমরা দুই বান্ধবি মিলে একটু গল্প করবো,অ্যাঁরা দুয়ো বান্ধবি মিলিয়ে এক্কানা গফ গইজ্জুম
উনাকে তো রোজা ধরেছে,ইতেরে ত রোজা ধইজ্জে
আমরা ঘরে আছি না,অ্যাঁরা ঘরত ন আছি
আমরাও দেখিয়ে দিব,অ্যাঁরাও দেহাই দিয়্যুম
আজকে না আসার কথা ছিল তোমাদের,আজিয়ে ন আইব্যের হথা আইসসিল তোঁয়ারার
তোমরা বেঈমান সবাই,তোঁয়ারা বেঈমান বেজ্ঞুনে
তোমার অভ্যাস হয়ে গেছে,তোঁয়ার অব্যাস অই গেইয়্যে
তুমি কি সেটা আমার থেকে ভাল করে আর কেউ জানে না,তুঁই কি ইয়ান অ্যাঁরতুন গম গরি আর কেউ ন জানে
এটিকে মার থেকে নেয়া বলে না,ইবেরে মারতুন লন ন হয়
টাকা পয়সা সবকিছু দিয়ে রাখে,টিঁয়া ফয়সা বেক্কিছু দি রাহে
গরু চোরের ছেলে মুরগি চোর,গরু চোরের ফোয়া কুরো চোর
তোমাকে শাসন করতে ভাল লাগে,তোঁয়ারে শাসন গইত্তু গম লার
তোমার দাদি ঘুমে নাকি জেগে তুই যেয়ে দেখে আয়,তোঁয়ার দাদি ঘুমত নি চেতন তুঁই য্যাই চ্যাঁই আয়
মাইর একটা মাটিতে পরবে,মাইর উজ্ঞো মেডিত ফইত্ত
আমি লাল বানিয়ে ফেলবো,অ্যাঁই লাল বানাই ফেলাইয়্যুম
মেয়ে চালাক জামাইয়ের ঘরে ভাত খেতে পারবে,মাইয়্যা চালাক জামাইয়ের ঘরত ভাত হাইতে ফাইত্ত
নতুন প্রজন্মের সাথে এই ভাষার কম ঘনিষ্ঠতা,নয়া ফ্রজন্মর লগে এই ভাষার হম ঘনিষ্ঠতা
আমরা এমন মঞ্চ বানাতে চেয়েছি,এতোল্লাই এন মনছ বানাইতু চাইলাম
যেখানে মানুষ চট্টগ্রামের ভাষায় তাদের মন হৃদয় ঢেলে দিতে পারবে,যেডে মানুষ চিটাংঅর ভাষাত ইতারার পরাণ দিল ঢালি দন ফাইত্ত
ভাষা এটি এমনিতেই হতো রসালো,ভাষা ইবে এনেই ত হত রসাল্লো
যার কারণে আমরা চট্টগ্রামের সবাই আমাদের ভাষায় মজা করতে পারার জন্য,যার হারণে অ্যাঁরা চিটাংঅর বেজ্ঞুনে অ্যাঁরার ভাষাত মজা গরিত ফারিবের লাই
তার গুন গাইবার জন্য যাবো,ইতার গুণ গাইবের লাই যাইয়্যুম
এই গ্রুপের মাধ্যমে আপনি চট্টগ্রামের সবার ব্যাফারে,এই গ্রুফুর মাইধ্যমে অনে চিটাংঅর বেজ্ঞুনের বেপারে
তার ব্যাপারে জানতে পারবেন নাকি,ইতার ব্যাফারে জানিত ফারিবেন নি
এটি তৈরির সাহস দেবার জন্য ধন্যবাদ জানাই,ইবে বানাইতু সাহস দিবেল লাই ধন্যবাদ জানাই
এখন আবার মিষ্টি বাতাস হচ্ছে,এহন আবার মিডে বাতাস অইলদে
আর তোমরা এসেছ রসের গল্প মারার জন্য,আর তোঁয়ারাআইস্সো রসের গফ মারাইবেল লাই
পাছায় হালকা বরফ লাগিয়ে দাও,পুন্দুত হালকা বরফ লাগাই দ
শান্তি লাগে না বাহিরে,শান্তি লার ন বাইরে
কুসুম কুসুম গরম পানি দিয়ে গোসল করে দেখতে পারো,কুম কুম গরম পানি দি গোসল গরে চ্যাঁইতে পারো
ভাল লাগবে,গম লাইব্যু
অভিনয় করলে গায়ে মরিচ ঢেলে দাও,অবিনয় গইল্লি গাত মরিচ ঢালি দ
এটি তো ছোট খালুর কথা মনে করিয়ে,ইবে ত ছোড হালুর হথা মনত গরাইয়্যরে
বাজারে গেলে ও দেখবে,বাজারত গ্যিলে ও চ্যাঁইবে
বউকে নিয়ে এমন প্রেম,বউরে লইয়্যে এন ফিরিত
জোড়া কলা এটি খেয়ো না তুমি এখন,জইক্কা কলা ইবে ন হাইস তুই এহন
এটি তোমার দাদিকে দিয়ে,ইবে তোঁয়ার দাদিরে দি
তোমরা তো রোহিঙ্গা,তোঁয়ারা তো রোহিঙ্গা
সাজনা গাছের ফুলের সুগন্ধে ভো ভো করে,সাজনা গাছর ফুলুর হুশবত ভো ভো গরে
তোর মত এমন বেয়াদপ না,তুঁর নান এইল্যা বিয়াদপ ন
আসার সময় গলা টিপে মেরে ফেলতাম ভাল হত,আইবের সমত গলা চিবি মারি ফেলাইতাম গম অইত্যু
অবংশের জাত ইন্ডিয়ার জাত তো ভাল না এর জন্য,অখান্দানর জাত হন্ডিয়ার জাত ত গম ন ইবার লাই
আগের আইল যেদিক পিছের আইল ও সেদিক,আগুর আইল মিক্কে পিছুর আইল ও মিক্কে
তোর কানে শয়তান ফিলফিল করে কি বলেছিল নারে জন্মের সময়,তুঁর হানত শতানে ফিলফিল গরে কি হইয়্যিল নরে জন্মর সমত
এটি তো শয়তান আমার ঘরে,ইয়েন তো শতান অ্যাঁর ঘরত
দুই মায়ের ছেলে নারে তোরা,দু মার ফোয়া নরে তুঁরা
ছেলের মত ছেলে হলে ভাল,ফোয়ার মত ফোয়া অইলে গম
ভয় পেলে ভুতে কাথা ভরে প্রসাব করবে,ডর পাইলে ভূতে খেতা ভরি মুতিব
তোকে খেলায় নেবো না,তোঁরে খেলাত ন লইইয়্যুম
আমার নানি পিঠা বানালে তোর অর্ধেক,অ্যাঁর নানি পিডা বানাইলে তুঁর আদ্ধান
বুড়ো মহিলার লজ্জা নেই বেহায়ার শরম নেই,ব্যুইড়া বেডির লাজ নাই বেহাইয়্যার শরম নাই
বাটা মরিচ লাগিয়ে দিব,বাইট্টে মরিচ লাগাই দিয়্যুম
খালি ঘরের বাহিরে পা রেখে দেখিস,হাইল্লে ঘরর বাইরে ঠ্যাং রাহি চ্যাঁইস
যুবক ঘরে চলে যায়,মরতফোয়া ঘরত চলি যায়
একটু পর একটা মহিলা বাহির হয়,এক্কানা ফর উজ্ঞো বেডি বাইর অয়
শাড়ি পড়া মহিলা,শাড়ি ফরা বেডি
মাথায় ঘোমটা আছে মহিলার,মাতাত ঘোমটা আছে বেডির
তার গায়ের রঙ বাদামী,ইতার রঙ বাদামী
তার কাপড় দেখতে পরিস্কার,ইতার হর চ্যাঁইতে সাফ
দেখতে বেশি সুন্দর না হলে মোটামুটি সুন্দর,চ্যাঁইতে বেশি সুন্দর ন অইলে মোটামুটি সুন্দর
মুখে একটা মার্জিত ছবি আছে,মুকে উজ্ঞো মার্জিত ছবি আছে
লোক মহিলার উদ্দেশ্য করে বলেন,লোক উদ্দেশ্য বেডির গরে কন
তুই ছেলেকে চা বানিয়ে খাওয়াতে পারবি,তুঁই ফোয়ারে চা বানাই হাবাইত ফারিবি
আমি বললাম না চা দরকার নেই,অ্যাঁই হইলাম ন চা দরহার নাই
আমি বললাম আমি ভাত খাবো,অ্যাঁই হইলাম অ্যাঁই ভাত হাইয়্যুম
লোক বলেন তাহলে তুই ভিতরে থাক,লোক কন তঁইলে তুঁই বিতুরে তাক
আমি বললাম কি তরকারি হবে,অ্যাঁই হইলাম কি ছালন অইব্যু
পায়ের হাড্ডি ভেঙ্গে ফেলবো তোর,ঠ্যাংঅর নলা ভাঙি ফেলাইয়্যুম তুঁর
মিওমিও করে কি পড়া,মিওমিও গরে কি ফড়া
বড় বড় করে পড়,ডঁর ডঁর গরে ফড়
মরিচ একটা দৌড়ে ধরিস,মরিচ উজ্ঞো দৌড়ে ধরিস
বেয়াদব বিয়াল্লিশ কাথা ভরে পায়খানা করে দিস,বিয়াদব বিয়াল্লিশ কেথা ভরি আগি দিস
একটা মুরগির বাচ্চা,উজ্ঞো কুরোর ছা
বাড়িতে যাস কেন ঝাটার বাড়ি খাস কেন,বাড়িত যচ কিল্লাই ঝাড়ার বাড়ি হাস কিল্লাই
বাড়িতে গেলে ফার্মের মুরগি খায় না কেন,বাড়িত গ্যিলে ফার্মের কুরো ন হায় কিল্লাই
মারার ধান্দা সেটা আর কিছু না,মারিবের ধান্দা ইবা আর কিসু ন
কাজের মহিলার মত কাজ করে যে সংসার সামলায়,হামের বেডির নান হাম গরে দে সংসার সামলাই
দেশি মুরগি নিজে কিনে তো খেতে পারবে না,দেশি কুরো নিজে কিনি ত হাইতে ন ফাইত্ত
মিথ্যা বলি নাকি ভাই,মিছা হই নাকি বদ্দা
তুই কেন চেতে গেছিস,তুঁই কিল্লাই চেতি গেইয়্যুস
ভাই আরেকটা উল্টো কথা না বলে,বদ্দা আরেক্কান উলটো হথা ন হয়
বিষের জন্য বলতে পারে না,বিষের লাই হইতে ন ফারে
জামাই দেশি মুরগি নিজের টাকায় খায় না,জামাই দেশি কুরো নিজের টিঁয়াই ন হায়
কি দরকার পড়েছে নিজের টাকা দিয়ে দেশি মুরগি খাওয়ার,কি দরহার ফইজ্জে নিজর টিঁয়া দি দেশি কুরো হাওনর
বাড়িতে নিয়ে যেয়ে দেশি মুরগি খাওয়াতে না পাড়লে চট্টগ্রামের ছেলের ঘর করতে পরত না,বাড়িত লই যাই দেশি কুরো হাবাইত ন পাইল্লে চিটাংঅর ফোয়ার ঘর গরন পইত্ত ন
সারাজীবন পান্তা ভাত দিয়ে মরিচ খেয়েছে তো,সারাজীবন পানি ভাত দি মরিচ খাইয়্যে তো
এটি আমিও বুঝলাম না,ইবে অ্যাঁইও ন বুজিলাম
আমার জামাইকে তো কান ধরে এনে বলবো,অ্যাঁর জামাইরে তো হান ধরি আনি হইয়্যুম
বউয়ের ভয়ে খাই ভাই,বউয়ের ডরে হাঁই বদ্দা
ফ্রাই করে দিলে জামাই না জামাইয়ের বাবা দাদাও খাবে,ফ্রাই গরে দিলে জামাই ন জামাইর বাপ দাদাও হাইব্যু
তোমার মা বাবা কিপটে,তোঁয়ার মা বাপ কিপটে
জামাই বলে কথা যেমন তেমন খাবার খেতে পারে না,জামাই কইয়্যরে হথা যেল্লে ইল্লে হানা হাইতে ন ফারে
জীবনে দেশি মুরগি খায় নি যে বিয়ে করবে দেশি মুরগি খাওয়ার জন্য,জীবনে দেশি কুরো ন হায় যে বিয়া গরিবে দেশি কুরো হাওনর লাই
কেউ জানলে বলুন,কেউ জানিলে হন
ঘাসফড়িং তুরুৎ তুরুৎ লাফ,ঘাসফড়িং তুরুৎ তুরুৎ ফাল
আমাকে ভোরে ডেকে দিও ন,অ্যাঁরে পইত্তে ডাহি ন দিও
শেষের লাইন এটি তোমার জন্য,শেষর লাইন ইয়েন তোঁয়ার লাই
ভাই বিদেশ থেকে টাকা পাঠাতে,বদ্দা বিদেশত তুন টিঁয়া ফাঠাতে
আমার ঘরে ইঁদুর আমার জুতা কেটে কুচি কুচি করে ফেলে,অ্যাঁর ঘরত উন্দুরে অ্যাঁর জুতা হাডি কুচি কুচি গরে ফেলায়
এটি আমি আগে শুনি নি,ইবে অ্যাঁই আগে ন ফুনি
কালকে বাঁচি না মরি,হালিয়্যে বাঁচি ন মরি
আমি প্রেম করেছি তোর বাবার কি,অ্যাঁই প্রেম গইজ্জি তুঁর বাপর কি
মন পাগল হয়ে গেছে,মন পল অই গেইয়্যে
বেশি করে স্যালাইন খাবি,বেশি গরে স্যালাইন হাবি
স্যালাইন না খেলে শক্তি পাবি না,স্যালাইন ন হাইলে বল ন ফাবি
বউকে ধরে ঘুষি,বউরে ধরি কিল
তুই আজকে বাসায় চল মাটির নিচে পুতে ফেলবো তোকে আমি,তুঁই আজিয়ে বাসাত চল মাডির নিচে গারি ফেলাইয়্যুম তোঁরে অ্যাঁই
তোর বাবার নাম আজকে জানলাম,তুঁর বাপের নাম আজিয়ে জানিলাম
ফজরের আজান দেওয়ার আগে খেয়ে পেট ফুলিয়ে ফেলি,ফজরর আজান দিবের আগে হাই পেট ফুলাই পেলাই
তাহলে তুই আমার সাথে ঝগড়া কেন করিস,তঁইলে তুঁই অ্যাঁর লগে হইজ্যে গরিস কিল্লাই
আমার জীবন অর্ধেক শেষ করেছে তোর বাবা অর্ধেক তুই,অ্যাঁর জীবন আদ্ধান শেষ গইজ্জে তুঁর বাপ আদ্ধান তুঁই
আমাকে শান্তি কি জিনিস দিলি না তোরা,অ্যাঁরে শান্তি কি জিনিস ন দিলি তুঁরা
মরে গেলেও তোরা আমাকে শান্তি দিবি না,মরি গিলেও তুঁরা অ্যাঁরে শান্তি দিতি ন
আমি মরলে তোরা বুঝবি মা কি জিনিস,অ্যাঁই মরিলে তুঁরা বুঝিবি মা কি জিনিস
আর তোর বাবা বুঝবে বউ কি জিনিস,আর তুঁর বাপ বুঝিবো বউ কি জিনিস
খাবারের সাথে কিসের রাগ,হানার লগে কিয়ের গুসসা
চুরি করে বউ চাল চিবোয়,চুরি গরে বউ চইল ছাবাই
ঘরকে মাছের বাজার বানিয়েছিস আর তোর দেখাদেখি ছোটও বরবাদ,ঘররে মাছর বাজার বানাইয়্যুস আর তুঁর দেহাদেহি ছোডও বরবাদ
দুইটা থেকে ডাকাডাকি শুরু করে দেওয়া আমার আম্মু,দুইটাত তুন ডাহাডাহি শুরু গরে দিবে অ্যাঁর আম্মু
বেহুশ হয়ে গেলে কেমন করে করবে,বেহুশ অই গেলে ক্যান গরে গরিবে
পার্লার বাদে মেয়ে আর কিছু চিনে না,পার্লার বাদে মাইয়্যা আর কিসু ন চিনে
আমার আম্মু পেলে গুলি করে মেরে ফেলবে,অ্যাঁর আম্মু পাইলে গুলি গরে মারি ফেলাইব্যু
আমার লেখাপড়া ডুবিয়ে দিয়েছে,অ্যাঁর লেয়াপড়া ডুবাই দিইয়্যি
পেট ফেটে মরে যাবো এর পরেও খাওয়া অফ করবো না,ফেট ফাডি মরি যাইয়্যুম ইবার বাদেও হানা অফ ন গইজ্জুম
ইফতার করার টাইমে যখন দেখি আলুর চপ নেই,ইস্তের গরিবের টাইমত যেত্তে চ্যাঁই আলুর চপ নাই
আমি যাবার পর আমার মামাত ভাই,অ্যাঁই যায়বের ফর অ্যাঁর মামাত বদ্দা
আমাকে কোন সময় জিজ্ঞাসা করে না,অ্যাঁরে হোন সমত পুঁছার ন গরে
ফকিরের ছেলে ফকির,ফইরের ফোয়া ফইর
সাতকানিয়া গরু চোর বেড়া ভেঙ্গে দৌড়,সাইতকাইন্না গরু চোর বেড়া ভাঙ্গি দোর
মার্কেটিং করে আসার পর,মার্কেডিং গরে আইসসিল ফর
তুই পুকুর থেকে উঠবি,তুঁই পইরত তুন উডিবি
পিঠের চামড়া তুলে ফেলবো,পিডর চাম তুলি ফেলাইয়্যুম
পিঠের চামড়া তুলে বাটা মরিচ লাগিয়ে দিবো,পিডর চাম তুলি বাইট্টা মরিচ লাগাই দিয়্যুম
মার কি ভাত খাওয়ার আগে খাবি নাকি পরে খাবি,মাইর কি ভাত হাওনর আগে হাবি নাকি পরে হাবি
দেখলে না মেরে থাকতে পারে না,চ্যাঁইলে ন মারি তাহিত ন ফারে
খায় না গায়ে দেয়,হায় ন গাত দে
আমি আমার বাবা মায়ের এক মেয়ে,অ্যাঁই অ্যাঁর বাপ মার উজ্ঞা মাইয়্যা
আমার লেখাপড়া শেষ করতে আর ও অনেক দিন বাকি,অ্যাঁর লেয়াপড়া শেষ গরিতে আরও বহুত দিন বাকি
আমার পড়তে ভাল লাগে,অ্যাঁর ফরতে গম লার
আমার রাগ একটু বেশি,অ্যাঁর গুসসা এক্কানা বেশি
আমি বাড়িতে যেতে চাই,অ্যাঁই বাড়িত যাইতাম চাই
কোভিডে সবাই অনেক কঠিন সময় পার করেছে,কোভিডত বেজ্ঞুনে অনেক কোদিন সমত ফার গইজ্জে
আমরাই দেশের ভবিষ্যৎ,অ্যাঁরাই দেশর ভবিষ্যৎ
সিদ্ধান্ত নিতে হবে বুঝে শুনে,সিদ্ধান্ত লইত অইব্যু বুজে শুনি
বুদ্ধিমান লোক সব সময় শক্তি দেখায় না,বুদ্ধিমান লোক হক্কল সমত বল ন দেহায়
বোঝাপড়া থাকা ভাল,বুজাপড়া থাওন গম
হাসতে হবে মন খুলে,আঁইশতে অইব্যু পরাণ খুলি
মানুষ মানুষের জন্য বুঝেছেন,মানুষ মাইনসের লাই বুঝন
আমার খুব শরীর খারাপ,অ্যাঁর বহুত শরীর হারাপ
বাংলা আমার মায়ের ভাষা তুমি জানো,বাংলা অ্যাঁর মার ভাষা তুই জানো
আমি বাংলায় গান গাই,অ্যাঁই বাংলত গান গাঁই
এখানে আমরা দুইটি ঘড়ি দেখতে পারছি তোমরা না,এডে অ্যাঁরা দুয়ো গড়ি চ্যাঁইতে ফারির ন তোঁয়ার
এখন কয়টা বাজে বলেন তো,এহন কয়ডা বাজে কন তো
বাজার থেকে টমেটো আনতে হবে না তোমার,বাজারুত তুন খাট্টাবাইয়্যুন আনোন ন অইব্যু তোঁয়ার
ভাত খাবো না রাগ করছি আমার মনে জ্বালা,ভাত ন হাইয়্যুম গুসসা ওইয়্যুম অ্যাঁর মনত জ্বালা
তোমার বউ সুন্দর সুন্দর কাপড় নিবে,তোঁয়ার বউ সুন্দর সুন্দর হর লইবে 
পুকুর বাড়ির সামসু মিয়া আমার থেকে বড় নাকি,পইর বাড়ির সামসু মিয়া আরতুন ডঁর নি 
কি সুন্দর বিয়ে করেছে ভাই,কি সুন্দর বিয়া গইজ্জে বদ্দা
আমার জন্য কালো কাপড়,অ্যাঁর লাই হালা হর
আমার বাবাকে বললাম আমাকে বিয়ে করাবা নাকি,অ্যাঁর বাপেরে হইলাম অ্যাঁরে বিয়া গরাবা নি
শহরে যাবো তোমার জন্য কি আনবো বলবে,শহোরত যাইয়্যুম অ্যাঁই তোঁয়ার লাই কি আইন্নুম
তোমাদের এসব কথা মনে থাকবে,তোঁয়ারার এগিন হথা মনত থাইব
কি করবে আমি যদি ঠিক থাকি সব সময়,কি গরিবে অ্যাঁই যদি ঠিক থাহি হক্কল সমত
মাঝে মাঝে চিঠি দিব চিন্তা করবে না,মাজে মাজে চিডি দিয়্যুম চিন্তা ন গরিবা
বলো ধোঁকা দিবে,ক দাগা ন দিবা
বিদেশ যাচ্ছি তোমাকে রেখে,বিদেশ যাইরগুই তোঁয়ারে ঘরত রাহি
বিল্ডিং রঙ করে দিতে পারবি নাকি,বিল্ডিং রঙ করে দিত ফারিবি নি
তুমি ঝামেলা কেন করো আমার সাথে,তুঁই ঝামেলা কিল্লাই গরস অ্যাঁর লগে
আপনি ভাইয়ের ভক্ত নাকি,অনে বদ্দার বক্ত নি
কথা বলুন মুরুব্বি মানুষ উনি,হথা হন মুরুব্বি মানুষ ইতে
তুমি কোথায়,তুঁই হডে
তোমার নাম কি,তোঁয়ার নাম কি
তুই খেলবি নাকি আমার সাথে,তুঁই হেলবি নি অ্যাঁর লগে
আমার তোমাকে বেশি ভাল লাগে,অ্যাঁর তোঁয়ারে বেশি গম লার
সামিদ কার ছেলে,সামিদ কার ফোয়া
আমার কাছে কিছু ভাল লাগছে না,অ্যাঁর তুন কিসু গম ন ল্যার
তোমার কাজ নেই ঠিক আছে,তোঁয়ার কাম নাই ঠিক আছে 
কথা ঠিক আছে নাকি তোমার,হথা ঠিক আছে নি তোঁয়ার 
মা রে মা যাবো কোথায় তাহলে,মারেম্মা যাইয়্যুম হডে তঁইলে
তুমি ভাত খাওয়াতে পারলে,তুঁই ভাত হাবাইত পারিলে
কলিজার ভিতর গেথে রাখবো তোমাকে,কলজার ভিতর গাথি রাইক্ষুম তোঁয়ারে
সিনার সাথে বেধে রাখবো নাকি ভাই,সিনার লগে বাঁধি রাইক্ষুম নি বদ্দা
আমার মন টিকে না এখন,অ্যাঁর পরাণ ন টিকে এহন
আর কোনদিন যাবো না তোমাকে ছেড়ে,আর হোনদিন ন যাইয়্যুম তোঁয়ারে ছাড়ি
কান টান লাল করে ফেলবো,হান টান লাল গরি ফেলাইয়্যুম
এখন তুই আমাদের বাড়িতে,এহন তুঁই অ্যাঁরার বাড়িত
তুই কথা কম বল,তুঁই হথা কম হ
এসব কি রান্না কর,এগিন কি রান্দো
আমার কথা বুঝিস না,অ্যাঁর হথা ন বুঝস
আমার পিছন পিছন কি তোর,অ্যাঁর ফন্দে ফন্দে কি তুর
খোদার কসম তার গায়ে জ্বর নেই,হুদার হচম ইতারার গাত জ্বর নাই
তোমাকে আমি দেখে নেবো ভাই,তোঁয়ারে অ্যাঁই চ্যাঁই লইইয়্যুম বদ্দা
স্কুলে যাবার সময় কোথায় গেছিস তুই,স্কুলুতঁ যায়বের সমত হডে গেইয়্যুস তুঁই
ওবাবা বিদ্যুৎ চমকাচ্ছে এখন,অবাপ ঝিল্কি মারে এহন
কানে কথা যায় না,হানত হথা ন যায়
তুই ডাক্তার না কসাই,তুঁই ডাক্তার না হসাই
হঠাৎ ভয় পেয়েছিলাম,আতিক্কে ডর ফাইয়্যি
অন্ধ গরুর আলাদা বাঁধা,আন্ধা গরুর জুদা বাধান
আমি তোর বাবাকে চিনি না আজকে থেকে,অ্যাঁই তুঁর বাপেরে ন চিনি আজিয়েত তুন
এখানে মরার ভয়ে ভাই,এহানে মউতের ডড়ে বদ্দা
এখানেও মানুষ মরে,এডেও মানুষ মরে
তুই রঙ মিস্ত্রি শপন না রঙ করিস যে এখানে,তুঁই রঙ মিস্তিরি শপন ন রঙ গরিস দে এহানে
চট্রগ্রাম রোড সিটি কর্পোরেশন অফিস,চিটাং রোড সিটি কপোরেশন অপিশ
এখান দিয়ে বিল্ডিং উঠাবো আমি রঙ করতে পারবি তুই নাকি রে,এয়ান দি বিল্ডিং উঠামু অ্যাঁই রঙ গরিত ফারিবি তুঁই নি রে
কন্ট্রাক্টে কাজ করতাম,কন্টাকে কাম গইত্তাম
তো আমি কি করব,তো অ্যাঁই কিত্তাম
আমি কিভাবে বলব তোকে,অ্যাঁই কেনে কইতাম তুঁরে
তুমি আমাকে চিনো নাকি,তুঁই অ্যাঁরে চিনোছ নি
এতো রাতে কি কাজ আমাকে বল,এদ্দুর রাইতে কি কাম অ্যাঁরে হ
ভিতরে কালো কাপড়,বিতুরে হালা হর
আমি আগে একটা বলি দেখার জন্য,অ্যাঁই আগে উজ্ঞো হই দেহার লাই
বসে বসে গল্প না করে,বৈ বৈ গফ ন গরে
আমি অসুস্থ মানুষ ঘুম ভাঙায়ে দেয় কেন,অ্যাঁই অসুস্ত মানুষ ঘুম ভাঙাইয়্যে দে কিল্লাই
রঙ মিস্ত্রি না আমি রং করা ছেড়ে দিয়েছি আজকে থেকে,রঙ মিস্তিরি ন অ্যাঁই রঙ গরন ছাড়ি দিয়্যি আজিয়েত তুন
দেখে রাখার জন্য,চ্যাঁই রাখিবার লাই
আমি তোমাকে বেশি করে বলবো এখন থেকে,অ্যাঁই তোঁয়ারে বেশি গরে কইয়্যুম এহন তুন
কথা তো এতক্ষণ বলে মাথা পাগল করে দিয়েছ,হথা তো এতক্ষণ কইয়্যরে মাতা পল করে দিছছ
জাত বংশ নাই তোমার এখন,জাত খান্দান নাই তোঁয়ার এহন
আপু তোমার ভিডিওর জন্য সময় আছে,আফা তোঁয়ার ভিডিওর লাই সমত আছে
আজকে বিয়েতে আমি সেরা,আজিয়ের বিয়াত অ্যাঁই সেরা
দেখবো দেখবো কি একবারে দেখাবি,দেইক্ষুম দেইক্ষুম কি এব্বেরে দেহাবি
আমি যাবো না বিগ বসে এখন,অ্যাঁই ন যাইয়্যুম বিগ বসত এহন
আপুকে বেশি ভাল লাগে কারণ আমি ও টেইলারিং করি,আপারে বেশি গম লার হারণ অ্যাঁই ও টেইলারিং গরি
কঠিন হয়েছে আজকের,জটিল হইয়্যে আজিয়ের
তাহলে সে যদি বেঁচে না থাকে,তঁইলে ইতে যদি বাঁচি ন থাহে
এটি আমাদের কাছে নতুন,ইবে অ্যাঁরার হাছে নয়া
কারণ তারপর বন্ধ হয় না,হারণ তারপর ন অয়
আমরা অনেক করেছি কিন্তু,অ্যাঁরা বহুত গইজ্জি কিন্তু
কিছু পাই না এটি কে দেয়,কিসু ন ফাই ইবে কেডা দে
প্রতিদিন ভোরে সামনে থাকে,ফত্তিন পইত্তে সামনে থাহে
একটা করে এখানে পড়ে থাকে,উজ্ঞো গরে ইয়েন ফড়ি থাহে
আর কিছু বলল না,আর কিসু ন হইলো
চিন্তা করে কোন কিছু আছে,চিন্তা গরে হোন কিসু আছে
পরে দেখা যাবে এটি,ফরে দেহা যাইব্যু ইবে
কিনে বাড়িতে চলে আসে,কিনি বাড়িত চলি অ্যাইয়ে
বাড়ির ভিতরে দেখে একটা মেয়ে,বাড়ির বিতুরে চ্যাঁই উজ্ঞো মাইয়্যা
মেয়ে দেখতে সুন্দরী,মাইয়্যা চ্যাঁইতে সুন্দরী
তাকে কেমন যেন লাগছে,ইতারে ক্যান যেন ল্যার
এসব কি দেখাই আমি,এগিন কি দেহাই অ্যাঁই
আপনাকে তো দেখি না,অনেরে তো ন চ্যাঁই
সুন্দরী মেয়ে মনে ধরে রাখিস,সুন্দরী মাইয়্যা মনত ধরি রাহিস
আমাকে আর দেখবে কি করে,অ্যাঁরে আর চ্যাঁইবে কি গরে
কথা শুনে রাগ হয়,কথা শুনি গুসসা অয়
তখন বলল আরোহী আমার নাম,তহন হইলো আরোহী অ্যাঁর নাম
এখন মনে পড়ে,এহন মনত ফড়ি
তুই তাহলে ভাবির বোন,তুঁই তঁইলে ভাবির বইন
যে আমাকে দেখেছে,যে অ্যাঁরে দেইক্কে
যাক দেখা যাবে তাহলে,যাক দেহা যাইব্যু তঁইলে
অনেক বড় হয়ে গেছে দেখি,বহুত ডঁর অই গেইয়্যে চ্যাঁই
আমি নিজে তো একটা বাচ্চা,অ্যাঁই নিজে তো উজ্ঞো ছা
বড় একটা মেয়ে নিজেকে বাচ্চা বলে,ডঁর উজ্ঞো মাইয়্যা নিজেরে ছা কইয়্যরে
চুপ হয়ে গেল একবারে,চুপ অই গিল এব্বেরে
এটি আবার কি ধরনের মেয়ে,ইবে আবার কি ধরনর মাইয়্যা
জানিস না আমি বড় মেয়ে,ন জানোস অ্যাঁই ডঁর মাইয়্যা
খারাপ কি বলল সে,হারাপ কি হইলো ইতে
আরোহী মাটিতে বসে পড়ে,আরোহী মেডিত বৈ ফড়ি
এমন সময় মাইশা এসেছে,এন সমত মাইশা আইসসে
তারা একটা লাঠি দিয়ে দেয়,ইতারা উজ্ঞো লাডি দি দে
তারপর রাগ করে সে অন্য দিকে চলে গেল,তারপর গুসসা গরে ইতে অন্য মিক্কে চলি গিল
নিজের ঘরে গিয়ে রাখে তার জিনিস,নিজর ঘরত গিয়্যি রাহে ইতার জিনিস
