Sentence #,Standard_Bangla,Chittagong,Sylhet,Noakhali,Mymensingh,Barishal
221,আজকের এই দিনে বাংলাদেশকে খুব মনে পড়ে,আযিয়ার এই দিন অত বাংলাদেশঅরে কুব মনোত ফরের,আইজকুর অউ দিনে বাংলাদেশরে খুব মনো পড়ের,আজকের এই দিন এ বাংলাদেশ রে মেলা মনে পরে,আইজকের এই দিনে বাংলাদেশরে মেলা মনে পড়তাসে,আইজগো এই দিনে বাংলাদেশরে বেমালা মনে পরে
222,সেই ছোটবেলার কথা মনে পড়ে যায় যতবার গানটা শুনি অতীতে ফিরে যাই,সেই গুরাহাল অর হতা মনোত ফরি যা গই যতবার ফুনি অতিত অত ফিরি যাই গই,হুরুকালর খতা মনো পড়ি যায় যতবার গানটা হুনি অতীত জীবনো ফিরিয়া যাই,সেই ছোটবেলার কথা মনে পড়ে যতবার গান এইয়ান হুনী অতীতে ফিরে যাই খালি,হেই ছোডবেলার কথা মনে পইড়া যায় যতবার গানডা হুনি অতীতে ফিইরা যাই,হেই ল্যাদাকালের কথা মনে পইড়া যায় যতবার গানডা হুনি আগেরকালে ফিররা যাই
223,এই ছোট ছেলেটি একটি বল দিয়ে খেলছে,এই গুরা ফোয়াওয়া ওজ্ঞা বল লই কেলা হার,অউ ছুটো ফুয়া ইগু বল দিয়া খেলার,এই ছোট পোলাগো একটা বল লই খেলার,এই ছোড ছেড়াডা একটা বল দিয়া খেলতাসে,এই ল্যাদা পোলাডা এউক্কা বল দিয়া খেলতেয়াছে
224,লোকটি ফোনে কথা বলছে,মানুষইবা ফোন অত হতা হর,বেটা ইগুয়ে ফোনে মাতের,লোকটি ফোন কথা কইতেছে,বেডাডা ফোনে কথা কইতাসে,বেডাডা ফোনে কথা কইতেয়াছে
225,বাইরে বেশ কিছু মানুষ ঘুরে বেড়াচ্ছে,বাআরে বেশ কিচু মানুষ গুরি বেরার,বারে বাক্কা কয়জন মানুষ ঘুরিয়া বেড়ার,ভাইরে মেলা মানুষ গুরে বেরার্,বাইরে বেশ কিছু মানুষ ঘুইরা বেড়াইতাসে,বাইরের গোডা চাইরে মানু ঘুইরা বেরাইতাছে
226,রাতে একদল লোক একসাথে বাইরে বসে থাকে,রাতিয়া একদল মানুষ এক্কোফোয়ারে বাইরে বই তাকে,রাইতকু এখ গাট্টি বেটাইন এখলগে বই রয়,রাতে একদল লোক একসাথে ভাইরে বইই থায়,রাতে একদল বেডা একলগে বাইরে বয়া থাকে,রাইতে একদল মানু একলগে বাইরে বইয়া থাহে
227,তুমিহীন সময়টা নিজেদের মতো করে গুছিয়ে নেওয়ার চেষ্টা করছি,তুঁই হিন সময়্যান নিজরার মতো গরি গুচাই লইবর চেস্টা গরির,তুমি ছাড়া সময়টারে নিজরার মতো খরিয়া গুছাইয়া লউয়ার  চেষ্টা খরিয়ার,জায়গায় হিন সময় এ নিজদের মত করি গুচাই নেয়ার চেষ্টা করিয়ের,তুমিহীন সময়ডা নিজেরার মতো কইরা গুছায়া নেওয়ার চেষ্টা করতাসি,তুমি ছাড়া সময়ডা মোর নাহান কইরা গুছাইয়া লওয়ার চেষ্টা করছি
228,আজ তোমার কন্যাকে নিয়ে সারা বই মেলা ঘুরেছি কিন্তু কোনো আনন্দ পায়নি,"আযিয়া তোঁয়ার মাইয়্যারে লই আরা বইমেলা গুইরগি ,কিন্তু হনো আনন্দ ন ফাই",আইজকুু তুমার ফুড়িরে লইয়া হারা বই মেলা পাখাইছি কিন্তু কুনো মজা ফাইছি না,আজ তোর মাইয়া রে লই মেলা ঘুরছি কিন্তু কোনো আনন্দ পাই নো,আজ তোমার মাইয়ারে নিয়া সারা বই মেলা ঘুরসি কিন্তু কোনো আনন্দ পায়নাই,আইজ তোমার মাইয়া লইয়া হারা বইমেলা ঘুরছি তয় কোনো সুখ পাই নাই
229,তোমার পছন্দের বেশ কয়েকটি বই কিনেছি,তোঁয়ার ফচন্দর বেশ কিচু বই কিন্নি,তুমার ফচন্দর বাক্কা কয়টা বই কিনছি,তোমার পচ্ছন্দর বই কিনছি,তোমার পসন্দের বেশ কয়েকটা বই কিনসি,তোমার পছন্দের কতডি বই কিনছি
230,সব কিছু কেমন শান্ত আর ফাঁকা লেগেছে,বেজ্ঞিন কেন নিযাম আর ফাকা লাহের,সবতা কিলা নিরাই আর ফাখা লাগছিল,বেক কিচু কিরকম  জানি শান্ত আর ফাঁকা লাগতেসে,বেগ কিসু কেমন শান্ত আর ফাঁকা লাগতাসে,হগল কিছু কিরহম ঠাণ্ডা আর খালি লাগতেয়াছে
231,আমি জানি আমাদের আর কোন দিন এপারে একসাথে বই পড়া হবেনা,আঁই যানি আঁরার হনোদিন এফারে এক্কোফোয়ারে বই ফরা ন অইবো,মুই জানি আমরার আর কুনোদিন অউ পারে একলগে বই পড়া অইতো নায়,আই জানি আর আমগো মধ্যে কোনো দিন ও এই পারে বই পড়া হবে না,আমি জানি আমরার আর কোন দিন এপারে একলগে বই পড়া হইতনা,মুই জানি মোগো আর কহনো এইপারে একলগে বই পড়া হইবে না
232,তুমি নেই এই কঠিন সত্যিটা আমি আজও বিশ্বাস করতে পারছি না,তুঁই নেই এই কটিন সইত্যইয়ান আঁই আইযো বিশ্বাস গরিত ন ফারির,তুমি নাই অউ কঠিন সত্তিটা মুই এবোধরি বিশ্বাস খরতাম ফারিয়ার না,তুমি যে নেই এই সত্যি এইন আই বিশ্বাস করতে পারতেছি না,তুমি নাই এই কঠিন সত্যিডা আমি আইজও বিশ্বাস করতে পারতাসি না,তুমি নাই এই কঠিন সত্যডা মুই আইজও বিশ্বাস করতে পারতেয়াছি না
233,কেনো জানি মনে হয় বেলা শেষে তুমি ঘরে ফিরবে,কেন যানি মনো অয়্যে বেলা শেষে তুঁই গর অত ফিরিবা,খেনে জানি মনে অয় বেলা শেষে তুমি ঘরো ফিরবায়,কেন জানি মনে ওই বেলা শেষ হই তুই ঠিক এই ঘরে আসবে,কেন জানি লাগে বেলা বাদে তুমি ঘরে ফিরবা,কির লইজ্ঞা জানি মনে হয় দিন গ্যালে তুমি বাড়ি ফেরবা
234,আমি এক সন্ধ্যায় অফিস থেকে বাসায় ফিরে দেখবো তুমি আছো সত্যিই তুমি আছো,আঁই এক আযিন্না আফিসত্তুন বাসাত ফিরি দেইক্কম তুঁই আচো সত্যিই তুঁই আচো,মুই এখ সইন্দাকালো অফিস থাকি বাসাত আইয়া দেখমু তুমি আছো হাছাউ তুমি আছো,আই এক সন্ধার অফিস থেকে বাসায় ফিরে দেইয়ুম তুই আছো সত্যি তুই আছো,আমি এক সন্ধ্যায় অফিস থাইক্কা বাসায় ফিরা দেখবাম তুমি আসো সত্যিই তুমি আসো,মুই এউক্কা সন্ধ্যায় অপিস গোনে বাড়ি ফিররা দেখমু তুমি আছো হাছাইও তুমি আছো
235,তুমি তোমার কন্যাকে নিয়ে ব্যস্ত সময় পার করছ,তুঁই তোঁয়ার যের ফোয়ারে লই বেস্তো সময় হাডোর,তুমি তুমার ফুড়িরে লইয়া ব্যস্ত সময় পার কররায়,তুমি তোমার মাইয়া রে লই মেলা বেস্ত দেখা যায়,তুমি তোমার মাইয়ারে নিয়া ব্যস্ত সময় পার করতাসো,তুমি মোর মাইয়ারে নিয়া ব্যস্ত সময় পার করতেয়াছো
236,আমি কোনদিন চিন্তাও করিনি আমার মেয়ে তার মার আদর ভালোবাসা ছাড়া বড় হবে বাসার কাজের মানুষের কাছে,আঁই হনোদিনও চিন্তা ন গরি আঁর মাইয়্যা তার মার আদর বালবাসা চারা ডঅর অইব হাজর মানুষর হাচে,মুই জিন্দেগিত ইকান ভাবছিও না যে আমার ফুড়ি তাইর মার আদর ভালোবাসা ছাড়া বড় অইবো বাসার কামর মানুষর টাইন,আই কোন দিন চিন্তা করি হারি নো আর মাইয়াগা হেইগার মা রে ছাড়া বড় হইবো আদর ভালোবাসা ছাড়া কাজের লোকের লগে,আমি কোনদিন চিন্তাও করি নাই আমার মাইয়া তার মায়ের আদর ভালোবাসা ছাড়া বড় হইব বাসার কামের মানুষের কাছে,মুই কোনোদিন ভাবিও নাই মোর মাইয়া হ্যার মার আদর ভালোবাসা থুইয়া বড় হইবে বাড়ির কামের মানুর ধারে।
237,দম বন্ধ হয়ে আসে চিৎকার করে কাঁদতে ইচ্ছে করে,নিয়াস বন্দ অই আয়্যে গুযোরি হাইন্তো মনে হয়,দম বন অইয়া আয় চিক্কার মারিয়া কান্দার ইচ্ছা খরে,ধম ভন্দ হই আসতেছে চিৎকার করে কাদতে ইচ্ছা করে,দম বন্ধ হইয়া আয় চিৎকার কইরা কাঁনতে ইচ্ছা করে,দম বন্ধ হইয়া আহে চিক্কর দিয়া কানতে মন চায়
238,তুমি জানো সত্যিই খুব কঠিন বাবা হয়ে মায়ের দায়িত্ব পালন করা,তুঁই যানো সত্যিই কুব কটিন হাম বাফ অই মার দ্যিত্ত ফালন গরা,তুমি জানোনি হাছাউ বাফ অইয়া মার দায়িত্ব ফালন খরা খুব কঠিন,তুমি জানো নি সত্যিই মেলা কঠিন বাপ হই মার বরণ পোষণ নেন,তুমি জানো সত্যিই মেলা কঠিন বাপ হইয়া মায়ের দায়িত্ব পালন করা,তুমি জানো হাছাইও বেমালা কঠিন বাপ হইয়া মায়ের দায়িত্ত্ব পালন করা
239,সন্তানকে একমাত্র তার মায়ের কোলেই মানায়,ফোয়াওক্কলেরে একমাত্র তার মার কোলঅতই মানায়,হুরুতারে এখমাত্র তারার মার কুলেউ মানায়,সন্তানের একমাত্র তার মায়ের কোলে মানায়,সন্তানরে খালি হের মায়ের কোলেই মানায়,গেদুরে খালি হ্যার মার কোলেই মানায়
240,তোমার কন্যা আমার কোলে এসে শুধু তোমাকে খোঁজে মনে হয়,তোঁয়ার মাইয়্যা আঁর কোল অত আই শুদু তোঁয়ারে তোয়াই ফঁল্লাই,তুমার ফুড়ি মোর কুলো আইয়া খালি তুমারে খুঁজে মনে অয়,তোমার মাইয়া আমার কোলে আই সুদু তোমারে খুঁজে মনে হয়,তোমার মাইয়া আমার কোলে আয়া খালি তোমারে খুজে মনে হয়,তোমার মাইয়া মোর কোলে আইয়া খালি তোমারে খোঁজে মনে হয়
241,তুমি চলে যাওয়ার পর তোমার মেয়ে কেমন যেন শান্ত হয়ে গেছে,তুঁই যাইবর ফর তোঁয়ার মাইয়্যা কেন যানি আন্ত অয় গেইয়্যুয়,তুমি যাওয়ার পর থাকি তুমার ফুড়ি কিলান জানি নিরাই অই গেছে,তুমি চলে যাওয়ার পর তোর মেয়ে কেমন চুপ চাপ হয়ে গেছে,তুমি চইলা যাওয়ার পরে তোমার মাইয়া কেমন যেন শান্ত হইয়া গেসে,তুমি চইল্যা যাওয়ার পর তোমার মাইয়া কিরহম যানি ঠাণ্ডা হইয়া গ্যাছে
242,এটা হয়তো কেউ বুঝতে পারছে না আমি ছাড়া,ইয়ান আঁই চারা হনিকাই ন বুযের ফঁল্লাই,ইখটা হয়তো কেউ বুজতো ফারের না মুই ছাড়া,এই হয়তো কেউ বুঝে না আই ছাড়া,এটা মনে হয় কেউ বুঝতে পারতাসেনা আমি ছাড়া,এইডা হয়তো কেউ বোঝতে পারতেয়াছে না মুই বাদে
243,আমি যে বাবা আমি আমার কন্যার মুখের দিকে তাকিয়ে অনেক কিছু বুঝতে পারি,আঁই ত বাফ আঁই আঁর মাইয়্যার মুকর ইক্কা চায় বউত কিচু বুজিত ফারি,"মুই তো বাফ , মুই মোর ফুড়ির মুকর দিকে চাইয়া বহুত্তা বুজতাম ফারি",আই যে বাপ আমি তার কন্যার মুখে দিকে তাকাই থাই অনেক কিছু বুঝতাম পারি,আমি যে বাবা আমি আমার মাইয়ার মুহের দিকে তাকাইয়া অনেক কিছু বুঝতে পারি,মুই যে বাপ মোর মাইয়ার মুখের দিকে চাইয়া বেমালা কিছু বোঝতে পারি
244,এই রকম মানুষেরা কখনো ঠিক হয় না,এন্ডিল্লা মানুষ হন অত্তে টিক ন মই,ইলান মানুষ কুনোদিন ঠিক অইন না,এইক্কান মানুষেরা কঅনো ঠিক অয়না,এই রকম মানুষরা কহনো ঠিক হয় না,এরম মানু কহনো ঠিক হয় না।
245,তাদের দুজনের বিয়ে হওয়ার কথা ছিল,তারার দুইজন অর বিয়া অইবর হতা আচিল,তারার দুইজনর বিয়া অউয়ার কথা আছিল,হেতাগো দুইজনের বিয়া অইবার কতা আছিলো,তাদের দুইজনের বিয়া হওয়ার কথা আসিল,হ্যাগো দুজ্ঞার বিয়া হওয়ার কথা আল্লেহ
246,কিন্তু ছেলে হঠাৎ করে তরুণীকে না জানিয়ে দেশের বাইরে চলে যায়,কিন্তু ফোয়া অটাথ গরি মাইফোয়ারে ন জানাই বিদেশ গেয়্যুয়,কিন্তুক ফুয়া আখতা ফুড়িরে কুনতা না জানাইয়া দেশর বাইরে গেছে গি,কিন্তু ফোলা হঠাৎ করি মাইয়ারে না জানাই বাইরে চলি গেছে,কিন্তু ছেড়া হঠাৎ কইরা ছেড়িরে না জানায়া দেশের বাইরে চইলা যায়,তয় পোলাডা হঠাৎ কইরা মাইয়াডারে না কইয়া দেশের বাইরে চইল্যা যায়
247,এর মাঝে মেয়েটি তার পরিবারের পছন্দে বিয়ে করে,ইন অর মাযোদ্দি মাইয়্যা ইবা তার ফরিবারর ফচন্দে বিয়া গরে,এর মাঝে ফুড়ি ইগু তাইর পরিবারর পছন্দে বিয়া খরি লাইছে,এয়ার মইধ্যে মাইয়া পরিবারের পছন্দে বিয়া কইচ্ছে,এর মধ্যে ছেড়িডা তার পরিবারের পসন্দে বিয়া করে,হ্যার মইধ্যে মাইয়াডা হ্যার পরিবারের পছন্দে বিয়া করে
248,সে মেয়েটির সাথে যোগাযোগ করে,ইতে মাইফোয়াইবার ফোয়ারে যোগাযোগ গরে,হে ফুড়ি ইগুর লগে যুগাযুগ খরে,হেতে মাইয়াগার লগে যোগাযোগ কইচ্ছে,হেয় ছেড়িডার সাথে যোগাযোগ করে,হ্যায় মাইয়াডার লগে যোগাযোগ করে
249,মেয়েটি কাউকে বিয়ে করতে রাজি হয় না,মাইফোইবা হনিকারে বিয়া গইরতো রাযি ন মই,ফুড়ি ইগু খেউরে বিয়া করাত রাজি অয় না,মাইয়াগা কাউরে বিয়া কইত্তো রাজি অয় না,ছেড়িডা কাউরে বিয়া করতে রাজি হয় না,মাইয়াডা কাউরে বিয়া করতে রাজি হয় না
250,ওই ছেলে কোন কিছুই শুনতে চায় না তার সাথে দেখা করতে চায়,অই ফোয়া হনো কিচু ফুইন্তো ন চায় তার ফোয়ারে দেহা গইরতো চাই,হউ ফুয়া কুনতা হুনতো চায় না তাইর লগে দেখা করতো চায়,হেই হোলা কোন কিছুই হুইনতাম চায় না দেখা কইরতাম চায়,ওই ছেড়ার কোন কিছুই হুনতে চায় না হের সাথে দেহা করতে চায়,ওই পোলা কোনো কিছুই হোনতে চায়না হ্যার লগে দেহা করতে চায়
251,মেয়ে মামলা চায় না কারণ সে বিবাহিত মামলার বিষয়টা জানাজানি হলে সংসার টিকবে না,"মাইয়্যা মামলা ন চায় হারন ইবা বিয়াইত্যা ,মামলার বিষয়্যান জানাজানি অইলে সংসার ন টিকিবো",ফুড়ি মামলা চায় না কারণ তাই বিয়াতি মামলার বিষয়টা জানাজানি অইলে সংসার টিকতো নায়,মাইয়া মামলা চায় না কারন বিয়ার মামলা জানাজানি হইলে সংসার টিকতো নো,ছেড়ি মামলা চায় না কারণ হেয় বিবাহিত মামলার বিষয়ডা জানাজানি হলে সংসার টিকব না,মাইয়াডা মামলা চায়না কারণ হ্যায় বিয়াইত্তা মামলার বিষয়ডা জানলে সংসার টেকবে না
252,আমার স্বামী বিভিন্ন মেয়ের সাথে সারা রাত জেগে কথা বলে,আঁর জামাই বিবিন্ন মাইফোয়ার ফোয়ারে আরা রাইত জাগি হতা হয়,মোর জাামাই বাক্কা ফুড়িন্তর লগে হারা রাইত জাগিয়া মাতে,আর জামাই রাত জাগি বিভিন্ন মাইয়ার লগে কতা কয়,আমার জামাই বিভিন্ন মাইয়ার সাথে সারা রাত জাইজ্ঞা কথা কয়,মোর জামাই ভিন্ন ভিন্ন মাইয়ার লগে হারা রাইত জাইগা কথা কয়
253,এখন কথা হলো আমি কাবিনের টাকা দিয়ে দিবো প্রতি মাসে মাসে,এহন হতা অইলদি আঁই হাবিনর টিয়া দি দিয়্যুম ফতি মাসে মাসে,এখন খতা অইলো মুই কাবিনর টেখা দিলাইমু ফত্তেক মাসে মাসে,অন কতা অইল আই হত্তি মাসে কাবিনের টেয়া দি দিমু,এখন কথা হইলো আমি কাবিনের টেহা দিয়া দিমু প্রতি মাসে মাসে,এহন কথা হইলো মুই কাবিনের টাহা দিয়া দিমু পেরতেক মাসে মাসে
254,আমি সাত মাস প্রেম করে একজনকে বিয়ে করেছি,আঁই সাত মাস ফ্রেম গরি একজনঅরে বিয়া গইরগি,মুই সাত মাস পিরিত খরি এখজনরে বিয়া খরছি,আই সাত মাস প্রেম করি একজনরে বিয়া কইচ্ছি,আমি সাত মাস প্রেম কইরা একজনরে বিয়া করসি,মুই সাত মাস পেরেম কইরা একজনরে বিয়া করছি
255,এখন বিয়ের পর জানতে পারি আমার স্বামী আগে দুইটি বিয়ে করেছিল,আঁই বিয়ার ফর জানিত ফারি আঁর জামাইর আগে দুয়্যা বিয়া গইরগিল,এখন বিয়ার পরে জানতাম ফারছি মোর জামাই আগে দুই বিয়া করছইন,অন বিয়ার হর জাইনতে হাইচ্ছি আর জামাই দুগা বিয়া কইচ্ছে,এহন বিয়ার পর জানতে পারসি আমার জামাই আগে দুইডা বিয়া করসিল,এহন বিয়ার পর জানতে পারি মোর জামাই আগে দুজ্ঞা বিয়া করছেলে
256,আমি মনসিক ভাবে খুব সমস্যার মধ্যে আছি,আঁই মানুসিক বাবে কুব সমস্যাত আচি,মুুই মানসিকভাবে বাক্কা সমস্যার মাঝে আছি,আই মানষিকভাবে সমস্যার মধ্যে আছি,আমি মনসিক ভাবে খুব সমস্যার মধ্যে আসি,মুই মনের দিক দিয়া বেমালা সমেস্যার মইধ্যে আছি
257,আমার একটাই কথা ছেলে মানুষের কাছে কিসের প্রয়োজন থাকতে পারে,আঁর এক্কানই হতা ফোয়াওক্কলর হাচে কি অর ফ্রয়োজন তাকিত ফারে,মোর খতা এখান অউ ফুয়াইন্তর লগে কিওর দরখার থাকতো পারে।,আর এককান এ কতা হোলা মানুষ এর কাছে কিয়ের দরকার থাইকতাম হারে,আমার একটাই কথা ছেলে মানুষের কাসে কিসের প্রয়োজন থাকতে ফারে,মোর এউক্কাই কথা পোলা মানুর ধারে কির দরকার থাকতে পারে
258,ক্লাসের সব মেয়েদের সাথেই মিশতাম,ক্লাস অর বেজ্ঞুন মাইফোয়ার লই মিশিতাম,ক্লাসর হখল ফুড়িন্তর লগেউ মিশতাম,কেলাসের বেক মাইয়ার লগেই মিশতাম,ক্লাসের সব মাইয়াদের সাথেই মিশতাম,কেলাসের বেবাক মাইয়াগো লগেই মিশতাম
259,আমি ধরে নিলাম আমার অনেক দোষ অনেক ভুল,আঁই দরি লইলাম আঁর বউত দুষ বউত বুল,মুই ধরিয়া নিলাম মোর বাক্কা দুষ বাক্কা ভুল,আই ধরি লাইছি আর অনেক দোষ অনেক ভুল,আমি ধইরা নিলাম আমার মেলা দোষ মেলা ভুল,মুই ধইরা নেলাম মোর ম্যালা দোষ ম্যালা ভুল
260,কিন্তু আমাদের তিন বছরের বাচ্চা তার কোথায় দোষ,কিন্তু আঁরার তিন বচরর বাইচ্চা ইতার দুষ আন হডে?,কিন্তু আমারার তিন বছর্‌র বাইচ্চা তার দুষ কুন জাগাত?,কিন্তু আংগো তিন বছরের বাইচ্চা হিগার দোষ কোনাই,কিন্তু আমাদের তিন বছরের বাচ্চা হের কোনখানে দোষ?,তয় মোগো তিন বছরের গেদু হ্যার কোম্মে দোষ?
261,আমরা বলি একটু সময় নেওয়ার জন্য আর উনার স্ত্রীকে নিয়ে আসার জন্য,আঁরা এক্কা সময় লইতো হয়্যি আর ইবার বউওরে লয় আইত,আমরা কইছলাম এখটু সময় লওয়ার লাগি আর তানর বউরে লইয়া আওয়ার লাগি,আমরা কই এককানা সময় লইবার লাই আর হেতার বউরে লই আইনবার লাই,আমরা বলি একটু সময় নেওনের লাইজ্ঞা আর উনার বউরে নিয়া আননের লাইজ্ঞা,মোরা কই এট্টু সময় নেওয়ার লইজ্ঞা আর হ্যার বউরে লইয়া আওয়ার লইজ্ঞা
262,তোমাকে যেদিন বলেছিলাম বিয়েটা করে ফেলো,তোঁয়ারে যেদিন বিয়া গরি ফেলাইতো হইলাম,তুমারে যেদিন কইছলাম বিয়াটা খরি লাও,তোয়ারে যেইদিন কইছিলাম বিয়াগা করি হালাইতো,তোমারে যেদিন কইসিলাম বিয়াডা কইরা ফালাও,তোমারে যেদিন কইছিলাম বিয়াডা কইরা হালাও
263,সেদিন কথাটা বলেছিলাম শুধু তোমার ভালোর জন্য,এদিন হতায়ান হইলাম তোঁয়ার বালার লাই,হেদিন খতা খান কইছলাম খালি তুমার ভালার লাগি,সেইদিন কতাগা কইছিলাম তোয়ার ভালার লাই,সেদিন কথাডা কইসিলাম খালি তোমার ভালোর লাইজ্ঞা,হেদিন কথাডা কইছিলাম খালি তোমার ভালোর লইজ্ঞা
264,কিন্তু তুমি এখন এতোই ভালো আছো যে আমি সেটা মানতে পারছি না,কিন্তু তুঁই এহন এতোই বালা আচো ইয়ান আঁই মানি লইত ন ফারির,কিন্তু তুমি এখন অতউ ভালা আছো যেন আমি মানতাম ফারিয়ার না,কিন্তু তুউই অন এতই ভালা আছো যে আই মাইনতাম হারিয়ের না,কিন্তু তুমি এহন এতোই ভালা আসো যে আমি হেইডা মানতে পারতাসি না,তয় তুমি এহন এতই ভালো আছো যে মুই হেইডা মানতে পারতেয়াছি না
265,তুমি আর আমার নেই আমি এটা মানতে পারছি না,তুতুঁই আর আঁর নাই ইয়ান মানি লত ন ফারির,তুমি আর মোর নাই ইকান মানিয়া নিতাম ফাররাম না,তুমি আর আর নাই এটা মাইনতাম হারিয়ের না,তুমি আর আমার নাই আমি এইডা মানতে পারতাসি না,তুমি আর মোর নাই মুই এইডা মানতেই পারতেয়াছি না
266,পছন্দ করেই পরিবারের মাধ্যমে বিয়ে করে এনেছে,ফচন্দ গরিই ফরবারর মাদ্যমে বিয়া গরি আইন্নে,পছন্দ খরিয়াও পরিবারর মাইধ্যমে বিয়া খরি আনছে,হছন্দ করিয়ে পরিবারের মাধ্যমে বিয়া করি আইনছে,পসন্দ কইরাই পরিবারের মাধ্যমে বিয়া কইরা আনসে,পছন্দ কইরাই পরিবারের মাইধ্যমে বিয়া কইররা আনছে
267,আমার ভালোবাসার মানুষের সাথে আমার বিয়ে হয়েছে,আঁর বালবাসার মানুষঅর ফোয়ারে আঁর বিয়া অইয়্যে,মোর ভালাপাওয়া মানুষর লগেউ মোর বিয়া অইছে,আর ভালোবাসার মানুষের লগে আর বিয়া অইছে,আমার ভালবাসার মাইনষের সাথে আমার বিয়া হইসে,মোর ভালোবাসার মানুর লগে মোর বিয়া হইছে
268,তাকে ছাড়া আমি হয়তো বাচঁতে পারবো না,তারে চারা আএ বাচিত ন ফাইরগম ফঁল্লাই,তারে ছাড়া মুই হয়তো বাচতাম ফারতাম নায়,তারে ছাড়া আই হয়ত বাইচতাম হাইরতান্ন,তারে ছাড়া আমি হয়তো বাচঁতে পারতাম না,হ্যারে ছাড়া মুই মনে হয় বাঁচতে পারমু না
269,এখন আর মানুষের মধ্যে মায়া বিষয়টা খুব একটা নেই,এহন আর মানুষর মইদ্ধে মায়া হদে জিনিসসান কুব এক্কান নাই,এখন আর মানুষর মাঝে মায়া জিনিসটা খুব এখটা রইছে না,অন আর মানুষের ভিত্তে মায়া জিনিষটা নাই,এহন আর মাইনষের মধ্যে মায়া বিষয়ডা খুব একটা নাই,এহন আর মানের মইধ্যে মায়া ব্যাপারডা হেইরহম নাই
270,আমি আমার ছোট বাচ্চাকে নিয়ে বাবার বাড়িতে যাই,আঁই আঁর গুরা ফোয়াওয়ারে লই বাফর বারিত যাইর,মুই মোর ছুটো বাইচ্চাগুরে লইয়া বাফর বাড়িত যাই,আই আর ছোট বাচ্চাগারে লই বাবার বাইত যাই,আমি আমার ছোডো বাচ্চারে লইয়া বাপের বাড়িত যাই,মুই মোর ছোডো গেদুডারে লইয়া বাপের বাড়ি যাই
271,আপনি নিজের পরিবার নিয়ে বসুন,অনে নিযর ফরিবার লই বয়্যুন,আফনে নিজর পরিবার লইয়া বইন,আন্নে নিজের পরিবার লই বইয়েন,আফনে নিজের পরিবার নিয়া বসেন,আমনে নিজের পরিবার লইয়া বহেন
272,পরিবারে ছোট খাটো ঝামেলা থাকে,ফরিবারত চোড হাডো যামিলা তাকে,পরিবারো ছুটো খাটো ঝামেলা থাখে,হরিবারে ছোড খাডো ঝামেলা থায়,পরিবারে ছোডো খাডো ঝামেলা থাকে,পরিবারে ছোডো খাডো কাইজ্জা থাহে
273,আমাকে একটু সাহায্য করবেন,আঁরে এক্কানা সাহায্য গরিবান,মোরে এখটু সাহায্য খরইন,আরে এক্কানা সাহায্য কইরবেন,আমারে একটু সাহায্য করবাইন,মোরে এউক্কা সাহাইয্য করবেন
274,দয়া করে নাম পরিচয় গোপন রাখবেন,দয়া গরি নাম ফরিচয় গোফন রাকিবান,দয়া খরিয়া নাম পরিচয় গুফন রাখবা,দয়া করি নাম পরিচয় গোপন রাখিয়েন,দয়া কইরা নাম পরিচয় গোপন রাখবাইন,দয়া কইরা নাম পরিচয় গোপন রাখবেন
275,আমি একটি কঠিন সমস্যা নিয়ে হাজির হয়েছি,আঁই এক্কান কটিন সমস্যা লই আযির অয়্যি,মুই এখান কঠিন সমস্যা লইয়া হাজির হইছি,আই এককান কডিন সমস্যা লই হাজির অইছি,আমি একটা কঠিন সমস্যা নিয়া হাজির হইসি,মুই এউক্কা কঠিন সমস্যা লইয়া হাজির হইছি
276,একসময় ছেলের মেয়েটাকে ভালো লাগবে,একসময় ফোয়াইবারতুন মাইফোয়া ইবারে গম লাগিতো,এখসময় ফুয়া অগুর ফুড়ি অগুরে ভালা লাগবো,একসময় হোলার মাইয়াগারে ভালো লাইগব,একসময় ছেড়ার ছেড়িডারে ভালা লাগব,এককালে পোলার মাইয়াডারে ভালো লাগবে
277,তাদের চার বছরের একটি মেয়ে বাচ্চা আছে,তারার চাইর বচরর ওজ্ঞা যের ফোয়া আচে,তারার চাইর বছরর এখটা বাইচ্চা ফুড়ি আছে,হেতাগো চাইর বছরের এগগা বাচ্চা আছে,তারার চাইর বছরের একটা মাইয়া আবু আসে,হ্যাগো চাইর বচ্ছরের এউক্কা মাইয়া গেদু আছে
278,গত এক মাস আগে স্ত্রীর সাথে ঝগড়া করে স্বামী দেশে চলে আসে,গত এম্মাস আগে বউঅর ফোয়ারে হইয্যা গরি জামাই দেশ অত আ গেইয়্যুয়,গত এখ মাস আগে বউর লগে ঝগড়া লাগিয়া জামাই দেশো আইচ্চে,গত এক মাস আগে জামাই বউর লগে কাইজ্জা করি দেশে চলি আইছে,গত এক মাস আগে বউয়ের সাথে ঝগড়া কইরা জামাই দেশে চইল্লা আসে,গ্যাছে এক মাস আগে বউর লগে কাইজ্জা কইরা জামাই দেশে চইল্যা আহে
