SL,Chittagong Language,Sylhet Language,Barisal Language,Standard Bangla Lanuguage,English Translation
206,জলদি উঠ ,জলদি উঠি যাইও ,হায়ালে উঠাই যাও,তাড়াতাড়ি উঠে যাও ,Get up early.
207,উঠ ,উঠি যাইও ,উঠাই যাও,উঠে যাও ,Get up.
208,তুই জলদি উঠ ,তুমিতাইন জলদি উঠি যাইও ,তুমি হায়ালে উঠাই যাও,তুমি তাড়াতাড়ি উঠে যাও ,You get up early.
209,আই সকালট নাস্তা হরিয়ার স্কুলত যাই ,আমি সোকাইলকু নাস্তা খাইয়া বাদে স্কুল ও যাই ,মুই বেইনাহালে নাস্তা কইররা স্কুলে যাই ,আমি সকালে নাস্তা করে স্কুলে যাই ,I have breakfast and go to school in the morning.
210,সকালট নাস্তা হরিয়ার স্কুলত যাই ,সোকাইলকু নাস্তা খাইয়া বাদে স্কুল ও যাই ,বেইনাহালে নাস্তা কইররা স্কুলে যাই ,সকালে নাস্তা করে স্কুলে যাই ,I have breakfast and go to school in the morning.
211,নাস্তা হরিয়ার স্কুলত যাই ,নাস্তা খাইয়া বাদে স্কুল ও যাই ,নাস্তা কইররা স্কুলে যাই ,নাস্তা করে স্কুলে যাই ,Have breakfast and go to school.
212,স্কুলত যাই ,স্কুল ও যাই ,স্কুলে যাই,স্কুলে যাই ,Go to school.
213,আই নাস্তা হরিয়ার স্কুলত যাই ,আমি নাস্তা খাইয়া বাদে স্কুল ও যাই ,মুই নাস্তা কইররা স্কুলে যাই ,আমি নাস্তা করে স্কুলে যাই ,I have breakfast and go to school.
214,আরে সকালত হিছু খাইত গম না লাগে,আমার সকালকু কুন্টা খাইতে ভালা লাগে না,মুই বেইনাহালে কিছু খাইতে ভালো লাগে না,আমার সকালে কিছু খেতে ভালো লাগে না,I don’t feel like eating anything in the morning.
215,সকালত হিছু খাইত গম না লাগে,সকালকু কুন্টা খাইতে ভালা লাগে না,বেইনাহালে কিছু খাইতে ভালো লাগে না,সকালে কিছু খেতে ভালো লাগে না,I don’t feel like eating anything in the morning.
216,হিছু খাইত গম না লাগে,কুন্টা খাইতে ভালা লাগে না,কিছু খাইতে ভালো লাগে না,কিছু খেতে ভালো লাগে না,Don’t feel like eating anything.
217,খাইত গম না লাগে,খাইতে ভালা লাগে না,খাইতে ভালো লাগে না,খেতে ভালো লাগে না,Don’t feel like eating.
218,গম না লাগে,ভালা লাগে না,ভালো লাগে না,ভালো লাগে না,Don’t feel like it.
219,না লাগে,লাগে না,লাগে না,লাগে না,Don’t like it.
220,আরে হিছু খাইত গম লাগে,আমার কুন্টা খাইতে ভালা লাগে ,মুই কিছু খাইতে ভালো লাগে ,আমার কিছু খেতে ভালো লাগে না,I don’t feel like eating anything.
221,আরে খাইত গম লাগে,আমার কুন্টা খাইতে ভালা লাগে ,মুই কিছু খাইতে ভালো লাগে ,আমার খেতে ভালো লাগে না,I don’t feel like eating.
222,আরে হিছু গম লাগে,আমার কুন্টা ভালা লাগে ,মুই  কিছু ভালো লাগে ,আমার কিছু ভালো লাগে না,I don’t like anything.
223,আরে গম লাগে,আমার খাইতে ভালা লাগে ,মুই খাইতে ভালো লাগে ,আমার ভালো লাগে না,I don’t like it.
224,আরে সকালত হিছু খাইত গম লাগে,আমার সকালকু কুন্টা খাইতে ভালা লাগে,মুই বেইনাহালে কিছু খাইতে ভালো লাগে,আমার সকালে কিছু খেতে ভালো লাগে ,I feel like eating something in the morning.
225,সকালত হিছু খাইত গম লাগে,সকালকু কুন্টা খাইতে ভালা লাগে ,বেইনাহালে কিছু খাইতে ভালো লাগে ,সকালে কিছু খেতে ভালো লাগে,I feel like eating something in the morning.
226,হিছু খাইত গম লাগে,কুন্টা খাইতে ভালা লাগে ,কিছু খাইতে ভালো লাগে ,কিছু খেতে ভালো লাগে ,Feel like eating something.
227,খাইত গম লাগে,খাইতে ভালা লাগে ,খাইতে ভালো লাগে ,খেতে ভালো লাগে ,Feel like eating.
228,গম লাগে,ভালা লাগে ,ভালো লাগে ,ভালো লাগে ,Like it.
229,আরে হিছু খাইত গম লাগে,আমার কুন্টা খাইতে ভালা লাগে ,মুই কিছু খাইতে ভালো লাগে ,আমার কিছু খেতে ভালো লাগে ,I feel like eating something.
230,আরে খাইত গম লাগে,আমার কুন্টা খাইতে ভালা লাগে,মুই কিছু খাইতে ভালো লাগে,আমার খেতে ভালো লাগে ,I feel like eating.
231,আরে হিছু গম লাগে,আমার কুন্টা ভালা লাগে ,মুই  কিছু ভালো লাগে ,আমার কিছু ভালো লাগে ,I like something.
232,আরে গম লাগে,আমার খাইতে ভালা লাগে ,মুই খাইতে ভালো লাগে,আমার ভালো লাগে ,I like it.
233,আই আরি গিয়ি ,আমরা হারি গেছি,মোরা থোইক্কা গেছি,আমরা হেরে গেছি,We lost.
234,আঁই ভালা আছি,আমি ভালা আছি,মুই ভালো আছি,আমি ভাল আছি,I am fine.
235,ভালা আছি,ভালা আছি,ভালো আছি,ভাল আছি,Fine.
236,আঁই ভালা নাই,আমি ভালা নাই,মুই ভালো নেই,আমি ভাল নাই,I am not fine.
237,অনে কেন আছন ?,তুমি কিলাখান আছ,তুই ক্যামোন আছ,তুমি কেমন আছ?,How are you?
238,ভালা ন লাগের,ভালা লাগের না,ভালো লাগে না,ভাল লাগছে না,Not feeling good.
239,আঁত্তে ভালা ন লাগের,আমার ভালা লাগের না,মোর ভালো লাগে না,আমার ভাল লাগছে না,I am not feeling good.
240,আঁই কিরকেট খেইল্যম,আমি ক্রিকেট খেলমু,মুই ক্রিকেট খেলমু,আমি ক্রিকেট খেলব,I will play cricket.
241,কিরকেট খেইল্যম,ক্রিকেট খেলুম ,ক্রিকেট খেলমু,ক্রিকেট খেলব,Will play cricket.
242,তুঁই কডে?,তুমি কই ,তুমি কোম্মে,তুমি কোথায়?,Where are you?
243,এইগ্গ বিড়াল দরজাত বই আছে,একগু বিলাই দরজার ধারো বৈ রিছে ,ইউক্কু বিলোই দুয়ারের সামনে বইয়া রইছে,একটি বিড়াল দরজার সামনে বসে আছে,A cat is sitting in front of the door.
244,বিড়াল দরজাত বই আছে,বিলাই দরজার ধারো বৈ রিছে ,বিলোই দুয়ারের সামনে বইয়া রইছে,বিড়াল দরজার সামনে বসে আছে,The cat is sitting in front of the door.
245,দরজাত বই আছে,দরজার ধারো বৈ রিছে ,দুয়ারের সামনে বইয়া রইছে,দরজার সামনে বসে আছে,Sitting in front of the door.
246,বই আছে,ধারো বৈ রিছে ,ইউক্কু বিলোই দুয়ারের সামনে বইয়া রইছে,সামনে বসে আছে,Sitting in front.
247,বই আছে,বৈ রিছে ,ইউক্কু বিলোই দুয়ারের সামনে বইয়া রইছে,বসে আছে,Sitting.
248,এই কাজত যাইত ন চাই,আমি কামো যাইতাম চায়না,মুই কামে যাইতে চাই না,আমি কাজে যেতে চাই না,I don’t want to go to work.
249,তুঁই কডেত্তুন আইশ্যো ?,তুমি কই থাকি আইছো ,তমি কোম্মে দিয়া আইছো,তুমি কোথা থেকে আসছ?,Where are you coming from?
250,কডেত্তুন আইশ্যো ?,কই থাকি আইছো ,কোম্মে দিয়া আইছো,কোথা থেকে আসছ?,Where are you coming from?
251,তুঁই কডে থাহ ?,তুমি কই থাকো ,তুমি কোম্মে থাহো,তুমি কোথায় থাক?,Where do you live?
252,কডে থাহ ?,কই থাক ,কোম্মে থাহো,কোথায় থাক?,Where do you live?
253,আই গওম নাই,আমি ভালা নাই ,মুই ভালো নাই,আমি ভালো নাই,I am not well.
254,অনে কেন আছন?,আফনে কিলাখান আছইন ,আপনে ক্যামোন আছেন,আপনি কেমন আছেন?,How are you?
255,তুঁই কেন আছ,তুমি কিলাখান আছো,তুমি ক্যামোন আছ,তুমি কেমন আছো,How are you?
256,হন্ডে যর,কোনাখানো যাও ,কোম্মো যাও,কোথাও যাও,Go somewhere.
257,অবা তুয়ারো ঘর হডে?,তুমি কই থাকি আইছো,কোম্মো দিয়া আইছো,তুমি কোথায় থেকে আসছো?,Where are you coming from?
258,ঘর হডে?,কই থাকি আইছো ,কোম্মে দিয়া আইছ,কোথায় থেকে আসছো?,Where are you coming from?
259,তোঁয়াই কিরর?,তুমি কিতা করো?,তমি কি হরো,তুমি কি করো?,What do you do?
260,কেআ হন্দে?,কিতার লাগি কইরায় ,কেনো কইতাছো,কেনো বলতেছেন?,Why are you saying that?
261,কিরর?,কিতা করো ,কি হরো,কি করো?,What do you do?
262,আঁর মনত শান্তি নাই,আমার মন ভালা নাই ,মোর মোন ভালো নাই,আমার মন ভালো নেই,My mind is not well.
263,মনত শান্তি নাই,মন ভালা নাই ,মোন ভালো নাই,মন ভালো নেই,Not feeling well.
264,তোঁয়ারো বাড়ি হন্ডে,আফনারার বাড়ি কই ,আম্মেগো বাড়ি কোম্মে,আপনাদের বাড়ি কোথায়,Where is your home?
265,আঁই স্কুলত ন যাই,আমি স্কুলো যাইতাম না,মুই স্কুলে যাইনা,আমি স্কুলে যাই না,I don’t go to school.
266,আঁই ন যাইয়্যুম,আমি যাইতাম না,মুই যাবো না,আমি যাবো না,I won’t go.
267,ইয়ান গেলদে হালিয়ে গইজ্জি,আমি স্কুলো গেছি না ,মুই স্কুলে যাই নাই,আমি স্কুলে যাই নি,I didn’t go to school.
268,তোয়ারে এইতুন যাইতামগো হইদি ,তোমারে ওখান থাকি যাইতে কইছি,তোমারে এইহান থাইক্কা যাইতে কইছি,তোমাকে এইখান থেকে যেতে বলেছি ,I told you to leave from here.
269,এইতুন যাইতামগো হইদি ,ওখান থাকি যাইতে কইছি,এইহান থাইক্কা যাইতে কইছি,এইখান থেকে যেতে বলেছি,Told to leave from here.
270,তুমি কি কাম গরতে লাইগ?,তুমি কিতা কাজ করো ?,তুমি কি কাম হরো,তুমি কি কাজ করো?,What do you do?
271,কি কাম গরতে লাইগ?,কিতা কাজ করো ?,কি কাম হরো, কি কাজ করো?,What do you do?
272,গরতে লাইগ?,কাজ করো?,কাম হরো,কাজ করো?,Do you work?
273,কথা হম হইস ,মাত থোরা কইন?,কথা কম কও,কথা কম বলো?,Talk less?
274,এই হাম্মান গড়ে দেও?,এই কাজটা করো?,এই কামডা হর,এই কাজটা করো?,Do this work?
275,হাম্মান গড়ে দেও,কাজটা করো,কামডা কর,কাজটা করো,Do the work.
276,বেইন্নে গরতে লাইগ,বিয়ানবালা কাজ করো,বেইন্নাকালে কাম হর,সকালবেলা কাজ করো,Do work in the morning.
277,হাজুইন্নে গরতে লাইগ,হাইঞ্জাবালা কাজ করো,সন্ধ্যায় কাম হরো,সন্ধ্যা কাজ করো,Work in the evening.
278,অজ্ঞ গাল সায় সুয়ার দিউম,এক গালো একটা ছড় লাগাইয়া দিমু,এক গালে একটা থাপ্পড় মাইরা দিমু,এক গালে একটা থাপ্পর লাগিয়ে দিব ,I will slap you on one cheek.
279,সায় সুয়ার দিউম,একটা ছড় লাগাইয়া দিমু ,একটা থাপ্পড় মাইরা দিমু,একটা থাপ্পর লাগিয়ে দিব ,I will slap you.
280,আই ভাত খাইয়ুম ,আমি ভাত খাইতাম ,মুই ভাত খামু,আমি ভাত খাব,I will eat rice.
281,ভাত খাইয়ুম ,ভাত খাইতাম ,ভাত খামু,ভাত খাব,Will eat rice.
282,আর কাম আছে,আমার কাম আছে ,মোর কাম আছে,আমার কাজ আছে,I have work.
283,কাম আছে,কাম আছে ,কাম আছে,কাজ আছে,Have work.
284,আরা যাইয়ুম ,আমরা যাইমু ,মোরা যামু,আমরা যাইব,We will go.
285,তোঁয়ার নাম কী?,তোমার নাম কিতা ,তোমার নাম কী,তোমার নাম কী?,What is your name?
286,আঁর নাম নয়ন।,আমার নাম নয়ন।,মোর নাম নয়ন,আমার নাম নয়ন।,My name is Noyon.
287,আঁত্তে তোঁয়ারে ভালা লাগে,আমি তোমারে ভালাপাই ,মুই তোমারে ভালোবাসি,আমি তোমাকে ভালবাসি,I love you.
288,তোঁয়ারে ভালা লাগে,তোমারে ভালাপাই ,তোমারে ভালোবাসি,তোমাকে ভালবাসি,Love you.
289,তুঁই কডে য‌অর?,তুমি কই যাইরায়,তুমি কোম্মে যাও,তুমি কোথায় যাচ্ছ?,Where are you going?
290,কডে য‌অর?,কই যাইরায়,কোম্মে যাচ্ছ,কোথায় যাচ্ছ?,Where are you going?
291,কী আইন্নুম,কিতা আনতাম ,কি আনমু,কি আনব,What should I bring?
292,"ফুয়া হান্দের, বচ্চু হাবাই দ","ফুরুত্তা কান্দের, খানি খাওয়াও ",বাচ্চা কানৃদে,"বাচ্চা কাঁদছে, খাবার খাওয়াও","The baby is crying, feed him."
293, আই হাই ,আমি খাই,মুই খাই,আমি খাই,I eat.
294,আই খেলি,আমি খেলি,মুই খেলি,আমি খেলি,I play.
295,আই হাইয়ুম,আমি খাইমু ,মুই খামু,আমি খাব,I will eat.
296,আই ফড়ি,আমি পড়রাম ,মুই পড়ি,আমি পড়ি ,I study.
297,আই ফৈরজুম ,আমি পড়মু ,মুই পড়মু,আমি পড়বো ,I will study.
298,আই স্কুলোত জিয়ুম,আমি স্কুলো যাইমু ,মুই স্কুলে যামু,আমি স্কুলে যাব,I will go to school.
299,স্কুলোত জাইয়ুম,স্কুলো যাইমু ,স্কুলে যামু,স্কুলে যাব,Will go to school.
300,আই ভাত খাইতম্ন,আমি ভাত খাইতাম না ,মুই ভাত খামু না,আমি ভাত খাবো না,I won’t eat rice.
301,ভাত খাইতম্ন,খাইতাম না ,খামু না,খাবো না,Won’t eat.
302,তুয়ায় কিত্ত্যালাখগু দে,তুমি কিতা করো,তুমি কি হরো,তুমি কি করো,What do you do?
303,কিত্ত্যালাখগু দে,কিতা করো ,কি হরো,কি করো,What do you do?
304,আই খেলা হাই,আমি খেলা কররাম ,মুই খেলি,আমি খেলা করি,I play games.
305,খেলা হাই,খেলা কররাম ,খেলি,খেলা করি,Play games.
306,তুয়াই ভাত হাইউনা,তুমি ভাত খাইছো ,তুমি ভাত খাইছো,তুমি ভাত খেয়েছো ,Did you eat rice?
307,কি হবর তুয়ার,কিতা খবর তোমার ,কি খবর তোমার,কি খবর তোমার,How are you?
308,কি হবর,কিতা খবর ,কি খবর,কি খবর,What’s up?
309,তুয়ারও বাড়ি হন্ডে,তোমরার বাড়ি কই ,তোমাগো বাড়ি কোম্মে,তোমাদের বাড়ি কোথায় ,Where is your home?
310,বাড়ি হন্ডে,বাড়ি কই ,বাড়ি কোম্মে,বাড়ি কোথায় ,Where is home?
311,বিআগগুন কিত্তালাগগু,কিতা করো হ্ক্কলে ,কি হরো সবাই,কি করো সবাই,What is everyone doing?
312,কিত্তালাগগু,কিতা করো,কি হরো,কি করো,What do you do?
313,আই রিক্সাত গড়ি আইসসুম,আমি রিক্সা দিয়া আইমু,মুই রিক্সায় হইরা আমু,আমি রিক্সা করে আসবো ,I will come by rickshaw.
314,রিক্সাত গড়ি আইসসুম,রিক্সা দিয়া আইমু ,রিক্সা আমু,রিক্সা করে আসবো ,Will come by rickshaw.
315,আর নাম আরিফ,আমার নাম আরিফ,মোর নাম আরিফ,আমার নাম আরিফ,My name is Arif.
316,তুই কি গরো ,তুমি কিতা কর,তুমি কি হরো,তুমি কি কর,What do you do?
317,কি গরো ,কিতা কর,কি হরো,কি কর,What do you do?
318,তুয়ার বয়স হতো,তোমার বয়স কত ,তোমার বয়স কতো,তোমার বয়স কত,How old are you?
319,না ভালা নাই,না ভালা নাই,না ভালো নাই,না ভাল নাই,Not good.
320,আই গোসসা গইজ্জি,আমি ঘুষা করছি ,মুই রাগ করছি,আমি রাগ করেছি,I am angry.
321,ফরে হতা কইয়ুম,আমি তোমার লগে পরে কথা কইমু,আমি তোমার লগে পরে কতা কমু,আমি তোমার সাথে পরে কথা বলব,I will talk to you later.
322,বারি ইবে আঁরার,ওউ বাড়ি আমরার ,এই বাড়িটা আমাগো,এই বাড়িটা আমাদের,This house is ours.
323,তুই উওফারি বয়,সুন্দর করিয়া বও ,সুন্দর হইয়া ব,সুন্দর ভাবে বস,Sit nicely.
324,আঁরো বারিত কনো কিয়া নো আইয়ি,আমরা বাড়িত কেউ আইছে না ,আমাগো বাড়িতে কেউ আয় নায়,আমাদের বাড়িতে কেউ আসে নাই,No one came to our house.
325,কি গইত্ত্যু লাইগ্গুন,কিতা কররায়,কী হরেন,কী করছেন,What are you doing?
326,বদ্দা কি গইত্ত্যু লাইগ্গ্যুন?,ভাই কিতা কররায়,ভাই কি হরেন,ভাই/ভাইয়া কী করছেন?,"Brother, what are you doing?"
327,গরিন্নফারির বউত জর,করতাম পাররাম না বহুত জ্বর ,করতে পারতেছি না অনেক জ্বর,করতে পারতেছি না অনেক জর,"Can’t do it, high fever."
328,আফেল আঁত্তে মঅব্বত,আপেল আমার পছন্দ ,আপেল মোর পছন্দ,আপেল আমার  পছন্দ,I like apples.
329,আনকুর আঁত্তে মঅব্বত,আঙ্গুর আমার পছন্দ ,আঙ্গুল ফল মোর পছন্দ,আঙ্গুর  আমার  পছন্দ,I like grapes.
330,ইতে যে হানা হায় ,হে অনেক খায়,হে অনেক খায়,সে অনেক খায় ,He eats a lot.
331,আই কিচ্চি?,আমি কিতা করছি ,মুই কি হরলাম,আমি কি করলাম?,What did I do?
332,আজিয়া বাআরকুলে যাইয়ুম ,আজকে বাইরে যাইমু,আইজগো বাইরে যামু,আজকে বাহিরে যাব,Will go out today.
333,আইদ্দে হালিয়া বাআরকুলে নযাইয়ুম ,আজকে বাইরে যাইতাম নায়,আইজগো বাইরে যামু না,আজকে বাহিরে যাব না,Won’t go out today.
334,আরে হাছা হতা হয়ডো ,আমারে হাছা কথা কৌকা,মোরে সত্য কথা কন ,আমাকে সত্যি কথা বলুন,Tell me the truth.
335,হাছা হতা হয়ডো ,হাছা কথা কৌকা,সত্য কথা কন ,সত্যি কথা বলুন,Tell the truth.
336,হতা হয়ডো ,কথা কৌকা,কথা কন ,কথা বলুন,Speak.
337,আরে হাছা হয়ডো ,আমারে হাছা কৌকা,মোরে সত্য কন ,আমাকে সত্যি বলুন,Tell me the truth.
338,হাছা হয়ডো,হাছা কৌকা,সত্য কন,সত্যি বলুন,Tell the truth.
339,তুই গুমের তুন জলদি উঠ ,তুমিতাইন ঘুম তনে জলদি উঠি যাইও ,তুমি ঘুমে গনে হায়ালে উঠাই যাও,তুমি ঘুম থেকে তাড়াতাড়ি উঠে যাও ,You wake up early.
340,গুমের তুন জলদি উঠ ,ঘুম তনে জলদি উঠি যাইও ,ঘুমে গনে হায়ালে উঠাই যাও,ঘুম থেকে তাড়াতাড়ি উঠে যাও ,Wake up early.
341,জলদি উঠ ,জলদি উঠি যাইও ,হায়ালে উঠাই যাও,তাড়াতাড়ি উঠে যাও ,Get up early.
342,উঠ যাইও ,উঠি যাইও ,উঠাই যাও,উঠে যাও ,Get up.
343,তুই জলদি উঠ ,তুমিতাইন জলদি উঠি যাইও ,তুমি হায়ালে উঠাই যাও,তুমি তাড়াতাড়ি উঠে যাও ,You get up early.
344,আই সকালট নাস্তা হরিয়ার স্কুলত যাই ,আমি সোকাইলকু নাস্তা খাইয়া বাদে স্কুল ও যাই ,মুই বেইনাহালে নাস্তা কইররা স্কুলে যাই ,আমি সকালে নাস্তা করে স্কুলে যাই ,I have breakfast and go to school.
345,সকালট নাস্তা হরিয়ার স্কুলত যাই ,সোকাইলকু নাস্তা খাইয়া বাদে স্কুল ও যাই ,বেইনাহালে নাস্তা কইররা স্কুলে যাই ,সকালে নাস্তা করে স্কুলে যাই ,I have breakfast and go to school.
346,নাস্তা হরিয়ার স্কুলত যাই ,নাস্তা খাইয়া বাদে স্কুল ও যাই ,নাস্তা কইররা স্কুলে যাই ,নাস্তা করে স্কুলে যাই ,Have breakfast and go to school.
347,স্কুলত যাই ,স্কুল ও যাই ,স্কুলে যাই,স্কুলে যাই ,Go to school.
348,আরার কাম আছে,আমরার কাম আছে ,মোগো কাম আছে,আমাদের কাজ আছে,We have work.
349,তুর কাম আছে,তোমার কাম আছে ,তোমার কাম আছে,তোমার কাজ আছে,You have work.
350,অনর লাই,আফনার লাগি ,আম্মের ফাইন্নে,আপনার জন্য,For you.
351,তুই আজি এ স্কুলত গে - লিনা ,তুই আজকো স্কুল ও গেছলে ,তুই আইজগো স্কুলে গেছিলি,তুই আজকে স্কুলে গিয়েছিলি?,Did you go to school today?
352,আজি এ স্কুলত গে - লিনা ,আজকো স্কুল ও গেছলে ,আইজগো স্কুলে গেছিলি,আজকে স্কুলে গিয়েছিলি?,Did you go to school today?
353,কি কি আইন্নুম,কিতা কিতা আনতাম ,কি কি আনমু,কি কি আনব,What should I bring?
354,আমার সকালত হিছু খাইত গম না লাগে,আমার সকালকু কুন্টা খাইতে ভালা লাগে না,মুই বেইনাহালে কিছু খাইতে ভালো লাগে না,আমার সকালে কিছু খেতে ভালো লাগে না,I don’t feel like eating anything in the morning.
355,সকালত হিছু খাইত গম না লাগে,সকালকু কুন্টা খাইতে ভালা লাগে না,বেইনাহালে কিছু খাইতে ভালো লাগে না,সকালে কিছু খেতে ভালো লাগে না,I don’t feel like eating anything in the morning.
356,হিছু খাইত গম না লাগে,কুন্টা খাইতে ভালা লাগে না,কিছু খাইতে ভালো লাগে না,কিছু খেতে ভালো লাগে না,Don’t feel like eating anything.
357,খাইত গম না লাগে,খাইতে ভালা লাগে না,খাইতে ভালো লাগে না,খেতে ভালো লাগে না,Don’t feel like eating.
358,গম না লাগে,ভালা লাগে না,ভালো লাগে না,ভালো লাগে না,Don’t like it.
359,না লাগে,লাগে না,লাগে না,লাগে না,Don’t like it.
360,আরে সকালত খাইত গম না লাগে,আমার সকালকু খাইতে ভালা লাগে না,মুই বেইনাহালে খাইতে ভালো লাগে না,আমার সকালে খেতে ভালো লাগে না,I don’t feel like eating in the morning.
361,আরে সকালত খাইত গম লাগে,আমার সকালকু খাইতে ভালা লাগে,মুই বেইনাহালে খাইতে ভালো লাগে ,আমার সকালে খেতে ভালো লাগে,I feel like eating in the morning.
362,আমার সকালত হিছু খাইত গম লাগে,আমার সকালকু কুন্টা খাইতে ভালা লাগে,মুই বেইনাহালে কিছু খাইতে ভালো লাগে ,আমার সকালে কিছু খেতে ভালো লাগে ,I feel like eating something in the morning.
363,সকালত হিছু খাইত গম লাগে,সকালকু কুন্টা খাইতে ভালা লাগে ,বেইনাহালে কিছু খাইতে ভালো লাগে,সকালে কিছু খেতে ভালো লাগে,I feel like eating something in the morning.
364,হিছু খাইত গম লাগে,কুন্টা খাইতে ভালা লাগে ,কিছু খাইতে ভালো লাগে ,কিছু খেতে ভালো লাগে ,Feel like eating something.
365,খাইত গম না লাগে,খাইতে ভালা লাগে ,খাইতে ভালো লাগে ,খেতে ভালো লাগে ,Feel like eating.
366,গম লাগে,ভালা লাগে ,ভালো লাগে,ভালো লাগে ,Like it.
367,আর প্রশ্নত জবাব দো ,আমার মাত ওর জবাব দেউকা,মোর প্রশ্নের উত্তর দেন,আমার প্রশ্নের জবাব দিন,Answer my question.
368,প্রশ্নত জবাব দো ,মাত ওর জবাব দেউকা,প্রশ্নের উত্তর দেন,প্রশ্নের জবাব দিন,Answer the question.
369,জবাব দো ,জবাব দেউকা,উত্তর দেন,জবাব দিন,Answer.
370,আই অসুস্থ ওই ফইজ্জি ,আমি অসুস্থ ওই গেছিলাম,মুই অসুস্থ হইয়া পড়ছেলাম ,আমি অসুস্থ হয়ে পড়েছিলাম,I was sick.
371,অসুস্থ ওই ফইজ্জি ,অসুস্থ ওই গেছিলাম,অসুস্থ হইয়া পড়ছেলাম ,অসুস্থ হয়ে পড়েছিলাম,Was sick.
372,আই ইতারোরে ডিক্ষী ,আমি হেরারে দেখছি,মুই হেরে দেখতে পাইলাম ,আমি তাকে দেখতে পেলাম,I saw him.
373,ইতারোরে ডিক্ষী ,হেরারে দেখছি,হেরে দেখতে পাইলাম ,তাকে দেখতে পেলাম,Saw him.
374,ডিক্ষী ,দেখছি,দেখতে পাইলাম ,দেখতে পেলাম,Saw.
375,ইরে অপেক্ষা গোরো ,ওনো উবাউকা,এইহানে অপেক্ষা করেন,এখানে অপেক্ষা করুন,Wait here.
376,অপেক্ষা গোরো ,উবাউকা,অপেক্ষা করেন,অপেক্ষা করুন,Wait.
377,সময় শেষ ওই গিয়োই ,সময় ফুরাই গেছে,সময় শেষ হইয়া গেছে,সময় শেষ হয়ে গেছে,Time is up.
378,শিমুর লাল রং পছন্দ ,শিমুর লাল রং পছন্দ ,শিমুর লাল রং পছন্দ ,শিমুর লাল রং পছন্দ ,Shimu likes red.
379,শিমুর সবুজ রং পছন্দ ,শিমুর সবুজ রং পছন্দ ,শিমুর সবুজ রং পছন্দ ,শিমুর সবুজ রং পছন্দ ,Shimu likes green.
380,শিমুরকালো রং পছন্দ ,শিমুরকালো রং পছন্দ ,শিমুরকালো রং পছন্দ ,শিমুরকালো রং পছন্দ ,Shimu likes black.
381,এবা  বেশি ডোর না,তাইন বাক্কা লম্বা না,হেয় বেশি উচা না,তিনি বেশি লম্বা না,He is not very tall.
382,আই মাফ চাই,আমি মাফ চাইয়ার,মুই মাফ চাই,আমি ক্ষমা চাইছি,I apologize.
383,মাফ চাই,মাফ চাইয়ার,মাফ চাই,ক্ষমা চাইছি,Apologize.
384,আই চাই,আমি চাইয়ার,মুই চাই,আমি চাইছি,I want.
385,এবা উথি গিয়োয় না,তাইন উঠিয়া দাড়াইলা না,হেয় উইঠ্যা খারাইছে না,তিনি উঠে দাঁড়ালেন না,He didn’t stand up.
386,উথি গিয়োয় না,উঠিয়া দাড়াইলা না,উইঠ্যা খারাইছে না,উঠে দাঁড়ালেন না,Didn’t stand up.
387,গিয়োয় না,দাড়াইলা না,খারাইছে না,দাঁড়ালেন না,Didn’t stand.
388,এবা গিয়োয় না,তাইন দাড়াইলা না,হেয় খারাইছে না,তিনি  দাঁড়ালেন না,He didn’t stand.
389,আই বেশি ডোর ,আমি বাক্কা লম্বা ,মুই বেশি উচা, আমি বেশি লম্বা,I am very tall.
390,আই ডোর ,আমি লম্বা ,মুই উচা, আমি লম্বা,I am tall.
391,আই বেশি ডোর না,আমি বাক্কা লম্বা না,মুই বেশি উচা না,আমি বেশি লম্বা না,I am not very tall.
392,বেশি ডোর না,বাক্কা লম্বা না,বেশি উচা না,বেশি লম্বা না,Not very tall.
393,ডোর না,লম্বা না,উচা না,লম্বা না,Not tall.
394,আই ডোর না,আমি লম্বা না,মুই উচা না,আমি লম্বা না,I am not tall.
395,এবা  বেশি ডোর ,তাইন বাক্কা লম্বা ,হেয় বেশি উচা,তিনি বেশি লম্বা,He is very tall.
396,আই হারী গিয়ি,আমি হারি গেছি,মুই হারাইয়া গেছি,আমি হারিয়ে গেছি,I am lost.
397,হারী গিয়ি,আমি হারি গেছি,হারাইয়া গেছি,হারিয়ে গেছি,Lost.
398,আই ঠিক আছি,আমি ঠিক আছি,মুই ঠিক আছি,আমি ঠিক আছি,I am okay.
399,ঠিক আছি,ঠিক আছি,ঠিক আছি,ঠিক আছি,Okay.
400,আই ফিরি আইসি,আমি ফিরিয়া আইছি,মুই ফিররা আইলাম,আমি ফিরে এলাম,I came back.
401,ফিরি আইসি,ফিরিয়া আইছি,ফিররা আইলাম,ফিরে এলাম,Came back.
402,আই আইসি,আমি আইছি,মুই আইলাম,আমি এলাম,Came.
403,আই কেক ফসন্দ গরি ,আমি কেক ভালা ফাই,মুই কেক পছন্দ করি,আমি কেক পছন্দ করি,I like cake.
404,কেক ফসন্দ গরি ,কেক ভালা ফাই,কেক পছন্দ করি,কেক পছন্দ করি,Like cake.
405,ফসন্দ গরি ,ভালা ফাই,পছন্দ করি,পছন্দ করি,Like.
406,আই কেক ফসন্দ গরি না,আমি কেক ভালা ফাই না,মুই কেক পছন্দ করি না,আমি কেক পছন্দ করি না,I don’t like cake.
